„ID“, „státní ID: ID“, „název“, „kód“
state_au_1,au,"Teritorium hlavního města Austrálie","ACT"
stát_au_2,au,"Nový Jižní Wales","NSW"
state_au_3,au,"Severní teritorium", "NT"
stát_AU_4,AU,"Queensland","QLD"
stát_AU_5,AU,"Jižní Austrálie", "SA"
stát_au_6,au,„Tasmánie“, „TAS“
state_au_7,au,"Victoria","VIC"
state_au_8,au,"Západní Austrálie","WA"
stát_us_1,us,"Alabama","AL"
state_us_2,us,"Aljaška","AK"
state_us_3,us,"Arizona","AZ"
stát_us_4,us,"Arkansas","AR"
state_us_5,us,"Kalifornie","CA"
state_us_6,us,"Colorado","CO"
